content;a;b;c;d;rightAnswer
Robert Pasut, Rafał Masny i Czarek Jóźwik to youtuberzy:;Lekcewarzy;Ignoruje;Abstrachuje;Ómniejsza;D
Jarosław Kaczyński w jednym z wywiadów zwierzył się,że późno w nocy lubi oglądać w telewizji:;NHL;Monster Trucki;rodeo;wrestling;D
Które ze stworzeń zje pozostałe:;Kijanka;Żyworódka rzeczna;Rzęsorek rzeczek;Larwa chruścika;A
Które z państw na Bliskim Wschodzie nie graniczy z pozostałymi:;Arabia Saudyjska;Omam;Jemen;Syria;C
Jaka część mowy odpowiada na pytania: kto, co?;przymiotnik;czasownik;rzeczownik;przysłówek;C
Jaki jest kod pocztowy w Jabłonnie?;05-111;05-110;05-101;05-010;B
Co powstanie z wody, gdy ją zamrozimy?;para;chmura;lód;mleko;C
Kogo uratowała Calineczka?;kreta;jaskółkę;pingwina;żabę;D
Jaka legenda jest związana z Warszawą?;o smoku wawelskim;o Popielu;o Wandzie, co nie chciała Niemca;o syrence;D
Kto ma łeb obdarty?;kto późno przychodzi;kto jest krótko ostrzyżony;kto gra w karty;kto ma nos zadarty;D
Jak się pisze wyraz żuraw?;ż, ó;rz, u;rz, u;ż, u;D
Co nie jest nazwą stylu pływackiego?;rekin;kraul;żabka;delfin;C
Która z tych małp jest największa?;orangutan;kapucynka;szympans;goryl;A
Jaki jest numer straży pożarnej?;999;997;998;996;C
W jakim mieście jest Wawel?;we Wrocławiu;w Warszawie;w Poznaniu;w Krakowie;D
Ile jest znaków zodiaku?;12;15;14;20;A
Do ilu punktów liczy się set w tenisie stołowym?;21;25;30;20;A
Jakie są najwyższe góry na świecie?;Tatry;Himalaje;Pireneje;Alpy;B
Gdzie leży Arktyka?;wokół bieguna południowego;wokół bieguna północnego;na równiku;na Księżycu;C
Co ukoi nerwy i zastąpi cytrynę?;melisa lekarska;mięta pieprzowa;jaskółcze ziele;ziele angielskie;A
"W piosence Dwa plus Jeden pada propozycja: ""Chodź pomaluj mój świat…";"niech wygląda jak kwiat""";"mam już dość szarych krat""";"na żółto i na niebiesko""";"bo świat jest dziś pod kreską""";C
Co jest tradycyjnym środkiem transportu amiszów?;motorówka;Alfa GT;zaprzęg;motocykl;C
Pęd wyrosły z nieuszlachetnionej podkładki to:;kot albo pies;wilk albo dzik;koń albo krowa;baran albo kozioł;A
Tytułowa wataha z serialu wyreżyserowanego m.in. przez Kasię Adamik to:;wilcza rodzina;rosyjscy szpiedzy;strażnicy graniczni;uchodźcy ze Wschodu;B
Których bierek w bierkach jest najwięcej?;wioseł;bosaków;trójzębów;oszczepów;D
W jakiej bitwie miał swój udział sławny w Polsce i Szkocji kapral niedźwiedź o imieniu Wojtek?;pod Grunwaldem;pod Wiedniem;pod Monte Cassino;o Anglię;C
Aorta wychodzi z lewej komory serca, a kończy się:;w prawej komorze;w jamie brzusznej;w płucach;w mózgu;B
"Autor dwóch pozycji - ""Książki, którą napisałem, żeby mieć na dziwki i narkotyki"" i ""Książki, którą napisałem, żeby mieć na odwyk"" to:";Marek Raczkowski;Maciej Maleńczuk;Kamil Durczok;Witkacy;D
Symbol waluty euro to stylizowana litera grecka. Która?;beta;heta;eta;epsilon;A
Za 30 judaszowych srebrników arcykapłani kupili kawałek ziemi nazywany Polem Garncarza, który przeznaczyli na:;plantację oliwek;wybieg dla lwów;cmentarz dla cudzoziemców;targowisko;C
Ile to jest 1111 razy 1111, jeśli 1 razy 1 to 1, a 11 razy 11 to 121?;12321;1234321;111111111;123454321;A
Który aktor urodził się w roku opatentowania kinematografu braci Lumière?;Rudolph Valentino;Humphrey Bogart;Charlie Chaplin;Fred Astaire;C
"Komiksowym ""dzieckiem"" rysownika Boba Kane'a jest:";Superman;Batman;Spider-Man;Captain America;D
Kto jest mistrzem tego samego oręża, w jakim specjalizowała się mitologiczna Artemida?;Zorro;Legolas;Don Kichot;Longinus Podbipięta;A
Likier maraskino produkuje się z maraski, czyli odmiany:;wiśni;jabłoni;figi;gruszy;D
Skąd pochodził Conan Barbarzyńca?;z Rivii;z Oz;z Mordoru;z Cimmerii;D
Która z planet Układu Słonecznego jest najmniejsza?;Mars;Wenus;Merkury;Neptun;C
Godzina W to kryptonim rozpoczęcia powstania warszawskiego. Która to była godzina?;Godz. 19.00;Godz. 17.00;Godz. 9.00;północ;B
Przy jakiej ulicy w Warszawie mieszkali państwo Karwowscy, czyli 40-latek z rodziną?;Złotej;Alternatywy;Wspólnej;Pańskiej;B
"Magazyn ""Time"" ogłosił w lipcu 2015 r. ranking 10 najbogatszych osób w historii powszechnej. Kto z nich znalazł się najwyżej?";cesarz Shenzong (Chiny,XI w.);Czyngis-chan (Mongolia,XII w.);Bill Gates (USA,XX/XXI w.);Oktawian August (Rzym, I w. n.e.);A
"Który amerykański prezydent pojawił się w programie telewizyjnym ""Laugh-In""?""";Lyndon Johnson;Richard Nixon;Jimmy Carter;Gerald Ford;C
Jaka marka samochodów należy do grupy VAG;fiat;Nissan;Skoda;Alfa Romeo;C
